14,10,0,0,5,1,1,buy
24,10,3,0,15,4,2,buy
30,10,2,2,21,4,3,buy
42,10,1,2,33,4,4,buy
15,10,6,3,7,7,2,exchange
17,10,1,5,10,7,3,exchange
21,10,2,7,15,7,4,buy
32,10,5,6,23,7,5,buy
36,10,0,9,29,7,6,buy
38,10,3,12,30,7,7,buy
13,10,3,10,5,10,2,exchange
16,10,7,5,9,10,4,exchange
19,10,2,11,13,10,5,buy
22,10,8,9,15,10,6,buy
23,10,4,14,15,10,7,buy
24,10,1,10,16,10,8,buy
33,10,5,14,25,10,9,buy
35,10,9,2,27,10,10,buy
10,10,6,8,6,13,2,exchange
11,10,3,11,5,13,4,buy
14,10,11,1,6,13,5,buy
19,10,9,5,12,13,6,buy
20,10,10,8,13,13,7,buy
25,10,12,0,16,13,8,buy
26,10,8,8,20,13,10,buy
35,10,1,3,27,13,11,buy
41,10,5,2,34,13,12,buy
45,10,4,7,37,13,13,buy
9,10,3,24,3,17,1,buy
11,10,12,18,6,17,4,exchange
12,10,11,12,7,17,6,exchange
13,10,16,7,8,17,11,exchange
15,10,0,18,9,17,12,exchange
20,10,14,19,13,17,13,buy
21,10,2,22,16,17,14,buy
25,10,15,16,21,17,16,exchange
48,10,7,19,43,17,17,buy
9,10,4,24,6,20,2,exchange
10,10,18,26,4,20,4,exchange
11,10,15,20,5,20,9,exchange
12,10,5,16,8,20,12,exchange
13,10,10,16,8,20,13,buy
15,10,12,17,10,20,16,buy
26,10,19,13,20,20,17,buy
32,10,13,23,26,20,18,buy
33,10,6,13,28,20,20,exchange
8,10,16,24,4,23,1,exchange
9,10,14,27,3,23,3,exchange
10,10,7,22,5,23,4,buy
11,10,15,25,7,23,13,exchange
12,10,5,25,6,23,14,exchange
14,10,22,6,7,23,16,buy
15,10,20,31,8,23,18,exchange
16,10,13,13,10,23,19,buy
18,10,19,13,11,23,20,buy
26,10,10,12,21,23,21,buy
33,10,9,19,29,23,22,buy
44,10,21,14,36,23,23,buy
9,10,19,39,4,26,4,exchange
10,10,6,22,6,26,13,exchange
11,10,14,23,6,26,14,buy
